OBJECTID,Name,AU_ID,Area_SQ_MI,AU_Size,MERGE_SRC,OID_,Shape_Leng,Shape_Area,curr_are,TotArea,sqMi23
1177,MA51-35,MA51-35,24.31050000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,70619.99620000000,63340223.16780000000,24.45747735410,24.07000000000,24.08597112960
1178,MA51-12,MA51-12,37.04880000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,79300.00440000000,95836181.70130000000,37.00512582600,37.04000000000,37.04880799020
1179,MA51-13,MA51-13,29.71310000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,60859.93940000000,76937949.76710000000,29.70788039250,29.67000000000,29.68063982180
1182,MA51-32,MA51-32,1.25209000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,12980.00000000000,3242700.00000000000,1.25209241751,1.25000000000,1.25209235854
1183,MA51-33,MA51-33,1.53292000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,13680.00000000000,3970000.00000000000,1.53291977794,1.53000000000,1.53291974553
1184,MA51-27,MA51-27,1.25256000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,12880.00000000000,3243900.00000000000,1.25256241305,1.25000000000,1.25256212986
1185,MA51-29,MA51-29,7.72922000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,32540.00000000000,20017300.00000000000,7.72921519614,7.73000000000,7.72921470323
1186,MA51-23,MA51-23,2.47017000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,18520.00000000000,6397300.00000000000,2.47016674474,2.47000000000,2.47016648858
1187,MA51-24,MA51-24,4.66078000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,22160.00000000000,12070600.00000000000,4.66078089942,4.66000000000,4.66078049496
1188,MA51-25,MA51-25,2.13455000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,15940.00000000000,5528100.00000000000,2.13455316801,2.13000000000,2.13455299333
1189,MA51-22,MA51-22,5.32432000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,24900.00000000000,13789100.00000000000,5.32432420083,3.76000000000,3.76272067485
1190,MA51-21,MA51-21,4.93822000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,21320.00000000000,12905622.23200000000,4.98324676410,4.94000000000,4.93821515753
1191,MA51-36,MA51-36,33.52040000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,83800.08460000000,87192219.27560000000,33.66737100250,33.28000000000,33.29372539300
1192,MA51-37,MA51-37,0.79724000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,8320.05640001000,2064699.47672000000,0.79723980701,0.80000000000,0.79723980701
1195,MA51-28,MA51-28,1.58571000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,16180.00000000000,4106700.00000000000,1.58571429103,1.59000000000,1.58571425491
1196,MA51-26,MA51-26,2.38744000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,14540.04460000000,6183000.49554000000,2.38743531767,2.39000000000,2.38743528486
1197,MA51-30,MA51-30,0.92176000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,11280.00000000000,2387200.00000000000,0.92176019564,0.92000000000,0.92176017693
1198,MA51-31,MA51-31,5.78367000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,31899.95536540000,14978598.16040000000,5.78367443336,5.78000000000,5.78367422599
1199,MA51-34,MA51-34,7.38237000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,29360.00000000000,19118900.00000000000,7.38236896541,7.38000000000,7.38236872823
1200,MA51-38,MA51-38,0.68483900000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,8980.00169999000,1773600.69800000000,0.68483941917,0.68000000000,0.68483941921
1201,MA51-39,MA51-39,4.43953000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,23760.00470000000,11497604.44250000000,4.43953044799,4.44000000000,4.43953044822
1202,MA51-40,MA51-40,6.23099000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,30760.00520000000,16137106.13350000000,6.23099333143,6.23000000000,6.23099322847
1204,MA51-42,MA51-42,2.42515000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,16000.00300000000,6280702.43399000000,2.42515266377,2.43000000000,2.42515265733
1205,MA51-44,MA51-44,1.82623000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,16040.00340000000,4520147.10578000000,1.74535261311,1.82000000000,1.82622843285
1206,MA51-43,MA51-43,2.81857000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,19356.60511100000,7299559.70954000000,2.81856658924,2.82000000000,2.81856639906
1207,MA51-46,MA51-46,0.40852300000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,6760.00130001000,1058000.34750000000,0.40852323131,0.41000000000,0.40852300147
1208,MA51-47,MA51-47,4.87891000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,22763.25172749990,12404442.77950000000,4.78972112797,4.88000000000,4.87890834586
1209,MA51-48,MA51-48,1.33928000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,12420.00260000000,3468501.30650000000,1.33928422075,1.34000000000,1.33928367726
1210,MA51-50,MA51-50,0.90238000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,12200.00250000000,2337000.84251000000,0.90237985294,0.90000000000,0.90237980849
1211,MA51-51,MA51-51,2.07085000000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,13680.00210000000,5363123.18594000000,2.07084712133,2.06000000000,2.05948672018
1212,MA51-52,MA51-52,0.65354900000,0.00000000000,New Group Layer\Blackstone_all_subbasins,0,8765.97173259000,1692574.25313000000,0.65354912841,0.65000000000,0.65354912841
