OBJECTID,Name,AU_ID,Area_SQ_MI,AU_Size,MERGE_SRC,OID_,LU_Stats,Shape_Leng,Shape_Area
80,MA94_18,MA94-18,11.65910000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,43755.92939430000,30196841.99960000000
81,MA94_28,MA94-28,9.18847000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,38187.06293920000,23798026.54190000000
82,MA94_29,MA94-29,2.41250000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,18342.93933390000,6248348.66486000000
83,MA94_22,MA94-22,31.95400000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,86080.13720000000,82760392.18690000000
84,MA94_35,MA94-35,7.61965000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,28540.00000000000,19734800.00000000000
85,MA94_24,MA94-24,1.37808000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,11520.03700000000,3569203.30284000000
86,MA94_26,MA94-26,3.61480000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,22259.99379990000,9362299.03991000000
87,MA94_36,MA94-36,2.56962000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,17964.09216800000,6655281.98146000000
88,MA94_39,MA94-39,2.97496000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,20580.00000000000,7705100.00000000000
89,MA94_41,MA94-41,1.78815000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,17400.71406630000,4631286.09932000000
90,MA94_40,MA94-40,4.08079000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,24120.00000000000,10569200.00000000000
91,MA94_42,MA94-42,8.98742000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,44160.00000000000,23277300.00000000000
92,MA94_38,MA94-38,15.18440000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,44450.09615440000,39327298.01370000000
93,MA94_37,MA94-37,3.83855000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,24540.00000000000,9941800.00000000000
94,MA94_43,MA94-43,3.92786000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,27920.00000000000,10173100.00000000000
95,MA94_45,MA94-45,1.51680000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,12800.00000000000,3928500.00000000000
96,MA94_44,MA94-44,7.76648000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,46040.00000000000,20115100.00000000000
97,MA94_46,MA94-46,1.69140000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,17560.00000000000,4380700.00000000000
98,MA94_48,MA94-48,0.47903700000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,7780.00000000000,1240700.00000000000
99,MA94_49,MA94-49,1.49028000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,12420.00000000000,3859800.00000000000
100,MA94_50,MA94-50,4.61326000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,22700.00000000000,11948300.00000000000
101,MA94_51,MA94-51,6.36625000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,33040.00000000000,16488500.00000000000
102,MA94_52,MA94-52,2.22561000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,18380.00000000000,5764300.00000000000
103,MA94_53,MA94-53,1.62491000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,15340.00000000000,4208500.00000000000
104,MA94_54,MA94-54,2.85488000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,20420.00000000000,7394100.00000000000
105,MA94_55,MA94-55,0.35675800000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,6320.00000000000,924000.00000000000
106,MA94_58,MA94-58,4.17813000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,21200.00000000000,10821300.00000000000
107,MA94_59,MA94-59,0.37239600000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,6000.00000000000,964500.00000000000
108,MA94_60,MA94-60,3.32276000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,25800.00000000000,8605900.00000000000
109,MA94_61,MA94-61,0.89344000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,9040.00000000000,2314000.00000000000
110,MA94_63,MA94-63,3.39961000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,21123.38474320000,8804951.88712000000
111,MA94_65,MA94-65,5.50578000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,18767.66891230000,14259897.50390000000
112,MA94-67,MA94-67,0.67733900000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,7740.00000000000,1754300.00000000000
113,MA83_01,MA83-01,13.79630000000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,41140.00000000000,35732300.00000000000
114,MA83_24,MA83-24,6.03744000000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,30799.99980000000,15636899.99600000000
115,MA83_06,MA83-06,10.13580000000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,45480.00000000000,26251500.00000000000
116,MA83_07,MA83-07,9.90352000000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,43940.00000000000,25650000.00000000000
117,MA83_08,MA83-08,6.61381000000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,28000.00000000000,17129700.00000000000
118,MA83_09,MA83-09,5.74524000000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,28520.00000000000,14880100.00000000000
119,MA83_10,MA83-10,4.17898000000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,20460.00000000000,10823500.00000000000
120,MA83_11,MA83-11,0.72560200000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,8740.00000000000,1879300.00000000000
121,MA83_12,MA83-12,5.02682000000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,28620.00000000000,13019400.00000000000
122,MA83_13,MA83-13,1.19892000000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,10860.00000000000,3105200.00000000000
123,MA83_14,MA83-14,2.31051000000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,17820.00000000000,5984200.00000000000
124,MA83_16,MA83-16,3.47635000000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,19400.00000000000,9003700.00000000000
125,MA83_17,MA83-17,35.50540000000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,76320.00000000000,91958500.00000000000
126,MA83_18,MA83-18,65.72980000000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,134120.00000000000,170239300.00000000000
127,MA83_15,MA83-15,1.93016000000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,13500.00000000000,4999100.00000000000
128,MA83_21,MA83-21,3.01974000000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,18920.00000000000,7821100.00000000000
129,MA83_19,MA83-19,78.06300000000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,155319.67620000000,202182192.68900000000
130,MA83_20,MA83-20,0.68471400000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,8940.00000000000,1773400.00000000000
131,MA83_23,MA83-23,2.10310000000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,20280.00390000000,5447002.16750000000
132,MA83_22,MA83-22,0.79034900000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,8217.58852233000,2046995.76750000000
133,MA83_04,MA83-04,1.31516000000,0.00000000000,New Group Layer\Shawsheen_all_subbasins,0,,12127.95674630000,3406247.28703000000
134,MA41_02,MA41-02,104.48500000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,135519.89420000000,270614107.67500000000
135,MA41_03,MA41-03,146.89600000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,165219.94760000000,380459503.67300000000
136,MA41_04,MA41-04,150.57500000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,168979.86600000000,389988304.30800000000
137,MA41_05,MA41-05,4.88523000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,23740.00000000000,12652700.00000000000
138,MA41_06,MA41-06,12.26850000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,48620.00000000000,31775300.00000000000
139,MA41_07,MA41-07,25.30150000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,54519.92899990000,65530597.59480000000
140,MA41_08,MA41-08,6.51814000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,31360.00000000000,16881900.00000000000
141,MA41_09,MA41-09,122.29500000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,152859.79840000000,316742110.31800000000
142,MA41_01,MA41-01,70.77720000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,103619.97740000000,183312205.48800000000
143,MA41_10,MA41-10,3.50843000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,19659.97880000000,9086796.37193000000
144,MA41_13,MA41-13,8.01031000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,35700.00000000000,20746600.00000000000
145,MA41_14,MA41-14,3.96300000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,20360.00119990000,10264110.70910000000
146,MA41_16,MA41-16,6.10655000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,24520.00000000000,15815900.00000000000
147,MA41_18,MA41-18,1.42059000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,12140.00000000000,3679300.00000000000
148,MA41_19,MA41-19,4.43245000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,26120.00000000000,11480000.00000000000
149,MA41_20,MA41-20,5.65080000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,25040.00000000000,14635500.00000000000
150,MA41_21,MA41-21,3.00152000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,20800.00000000000,7773900.00000000000
151,MA41_22,MA41-22,4.95334000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,26560.00000000000,12829100.00000000000
152,MA41_23,MA41-23,8.64587000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,32940.00000000000,22392700.00000000000
153,MA41_24,MA41-24,3.26708000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,18460.00000000000,8461700.00000000000
154,MA41_25,MA41-25,1.04109000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,9719.98499997000,2696401.39811000000
155,MA41_26,MA41-26,5.04385000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,25300.00000000000,13063500.00000000000
156,MA41_12,MA41-12,4.02855000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,27759.97680000000,10433900.83120000000
157,MA41_15,MA41-15,3.69445000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,26339.89858020000,9568587.36015000000
158,MA41_17,MA41-17,1.41078000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,12140.00000000000,3653900.00000000000
159,MA41_27,MA41-27,1.25676000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,11359.96180010000,3254997.76296000000
160,MA41_11,MA41-11,10.27920000000,0.00000000000,New Group Layer\quinebaug_all_subbasins,0,,48420.00000000000,26623100.00000000000
