AU_ID,Longitude,Latitude
MA41-17,-72.20778459000,42.13673536000
MA41-27,-72.17417748000,42.12625738000
MA41-11,-72.05845184000,42.01876025000
MA41-28,-72.09951295000,42.04059558000
MA41-29,-72.10767395000,42.14000893000
MA91-07,-70.95320601000,42.73115449000
MA93-02,-70.96799732000,42.55936666000
MA93-05,-70.96190847000,42.51589314000
MA93-07,-70.89274691000,42.57167529000
MA93-26,-70.64167880000,42.63971219000
MA93-30,-71.05226801000,42.54157928000
MA93-31,-71.06609479000,42.49864393000
MA93-33,-71.00937888000,42.50214341000
MA93-34,-71.06468314000,42.52862408000
MA93-35,-71.04961248000,42.50906001000
MA93-36,-70.92922286000,42.58105081000
MA93-37,-70.96058486000,42.57537196000
MA93-38,-70.96381401000,42.56629731000
MA93-32,-71.01537103000,42.51322280000
MA93-50,-71.02650888000,42.45759251000
MA93-47,-70.75041642000,42.57981128000
MA93-48,-71.04677687000,42.47619159000
MA93-27,-70.64730879000,42.63698811000
MA93-29,-70.76095012000,42.59249744000
MA93-59,-70.81627869000,42.57211702000
MA93-61,-70.73731980000,42.61660859000
MA93-64,-70.79385837000,42.57652621000
MA93-65,-70.72852564000,42.60576935000
MA93-66,-70.72122346000,42.60438386000
MA81-08,-71.82785778000,42.40440227000
MA81-09,-71.82130685000,42.40587877000
MA81-13,-71.80115466000,42.53421177000
MA81-16,-71.69934732000,42.55828736000
MA81-17,-71.58500409000,42.52725406000
MA81-18,-71.75002865000,42.68047941000
MA81-19,-71.74533241000,42.67725039000
MA81-21,-71.66918379000,42.73605619000
MA81-23,-71.61638589000,42.67451880000
MA81-26,-71.85499549000,42.41841368000
MA81-28,-71.77189051000,42.34399481000
MA81-29,-71.73249943000,42.34629053000
MA81-30,-71.85852491000,42.45955227000
MA81-31,-71.83041219000,42.46362569000
MA81-32,-71.88060328000,42.38567793000
MA81-33,-71.84649072000,42.33077911000
MA81-34,-71.72747009000,42.35736374000
MA81-35,-71.84567559000,42.33493814000
MA81-10,-71.87775685000,42.52706610000
MA81-39,-71.76781767000,42.50254146000
MA81-38,-71.78455920000,42.49853042000
MA81-37,-71.69924467000,42.60497403000
MA81-36,-71.74103826000,42.62121344000
MA81-40,-71.85541789000,42.49117574000
MA81-41,-71.82624051000,42.49520372000
MA81-42,-71.80047049000,42.46826607000
MA81-44,-71.81888299000,42.41869511000
MA81-46,-71.79709615000,42.47102910000
MA81-47,-71.76429435000,42.41652562000
MA81-48,-71.71164703000,42.35816679000
MA81-52,-71.84207814000,42.31354880000
MA81-53,-71.86956099000,42.35728661000
MA81-55,-71.80422316000,42.40961129000
MA81-56,-71.90595266000,42.34991114000
MA81-57,-71.77056177000,42.43806369000
MA81-58,-71.90826647000,42.38367482000
MA81-12,-71.87815257000,42.62440337000
MA81-62,-71.80417029000,42.61525791000
MA81-15,-71.63647377000,42.45173539000
MA81-20,-71.57333141000,42.59029642000
MA81-24,-71.79695019000,42.34715426000
MA81-25,-71.78953214000,42.35322427000
MA81-27,-71.80159384000,42.36655398000
MA81-43,-71.79283446000,42.44492366000
MA81-45,-71.82504439000,42.42818290000
MA81-49,-71.78860704000,42.36478868000
MA81-50,-71.70321509000,42.37171346000
MA81-51,-71.82098732000,42.35888594000
MA81-54,-71.79773753000,42.39597678000
MA81-59,-71.81480554000,42.40099122000
MA81-60,-71.64104204000,42.44554877000
MA81-72,-71.74655187000,42.46826722000
MA81-69,-71.92263083000,42.39972650000
MA81-70,-71.85747980000,42.42815536000
MA81-71,-71.88805304000,42.43466369000
MA81-88,-71.78609276000,42.46817174000
MA81-73,-71.59008687000,42.50839432000
MA81-82,-71.60191072000,42.53081355000
MA81-74,-71.72146323000,42.57689255000
MA81-77,-71.81401692000,42.68820201000
MA81-79,-71.80979357000,42.68309982000
MA81-78,-71.79680138000,42.70306831000
MA81-80,-71.77327371000,42.64949235000
MA81-83,-71.76876237000,42.66215340000
MA81-81,-71.53704523000,42.65317050000
MA81-84,-71.63719493000,42.55801015000
MA81-67,-71.73380606000,42.41960072000
MA81-75,-71.68472899000,42.63177845000
MA81-76,-71.64052948000,42.68411693000
MA81-64,-71.56051359000,42.65227075000
MA81-68,-71.73031724000,42.65649061000
MA81-85,-71.66031117000,42.51542041000
MA81-86,-71.63941417000,42.44332682000
MA81-89,-71.82307001000,42.63464712000
MA81-90,-71.91052678000,42.52987614000
MA81-87,-71.67253774000,42.48833047000
MA81-91,-71.88623162000,42.55714336000
MA81-92,-71.88815897000,42.56224680000
MA81-93,-71.89324190000,42.33825928000
MA81-94,-71.92473156000,42.32616830000
MA81-96,-71.83785312000,42.50391458000
MA81-95,-71.93782609000,42.35464358000
MA81-97,-71.87507788000,42.59268878000
MA81-98,-71.85616907000,42.56991433000
MA81-99,-71.84862205000,42.64518967000
MA81-100,-71.82098830000,42.62530292000
MA81-101,-71.68095841000,42.50814075000
MA81-102,-71.77088359000,42.72665267000
MA81-66,-71.71296813000,42.44046058000
MA61-05,-71.12434630000,41.67508128000
MA61-09,-71.17855121000,41.76398443000
MA35-26,-71.92848223000,42.68560970000
MA35-30,-72.22363015000,42.72599877000
MA35-19,-72.45334904000,42.55487616000
